userid,instituitionName,major,degree,startdate,enddate
Magnus.Klein,Twitterbridge,mbbs,bachelor,1986-02-05,1931-12-30
Lorine_Hickle,Oba,history,master,1902-12-07,1906-09-13
Susie.Ebert,Twimm,eletrical,doctrate,1948-02-15,1913-04-09
Terence,Flashpoint,civil,master,1988-08-28,1919-11-27
Ron_Farrell,Wikivu,economics,master,2001-02-15,1937-05-31
Johanna.O'Keefe,Youspan,history,doctrate,1908-04-20,1977-11-28
Janet,Tazz,history,master,1998-01-06,1921-05-19
Gladyce,Yakitri,history,doctrate,1964-09-06,1983-02-14
Raphael_Mante,Fivespan,economics,doctrate,1903-09-24,1949-09-25
Thea.McClure,Skippad,philosophy,doctrate,1935-07-13,1976-07-02
Javon_Braun,Devpoint,philosophy,master,1914-07-17,1988-12-28
Gussie,Jabbersphere,computer science,master,1945-06-03,1907-12-20
Adah.Cole,Omba,economics,bachelor,1901-05-22,1960-11-17
Anastacio,Flipstorm,civil,master,1980-01-12,1922-06-25
Sadye.Green,Ainyx,eletrical,doctrate,1967-11-24,1973-06-04
Boyd,Ozu,mathematics,doctrate,1979-03-12,1954-10-27
Cordell,Realcube,chemistry,master,1977-10-01,1932-06-07
Kayla,Devify,civil,doctrate,1930-05-12,1942-12-18
Blair_Weissnat,Babbleblab,history,doctrate,2014-06-16,1994-12-10
Orlando,Vitz,civil,master,1986-06-05,1913-06-26
Rebeca.Satterfield,Dynabox,computer science,master,1989-12-07,1981-05-05
Major,Kwideo,agriculture,doctrate,2010-10-17,1969-11-05
Sherwood_Dicki,Babbleblab,mathematics,doctrate,1982-05-15,1998-01-12
Berenice_Feeney,Tagchat,biology,master,1960-02-17,1932-12-31
Aubrey_Larkin,Voolith,history,doctrate,1937-10-20,1909-11-29
Jan_Torphy,Centimia,agriculture,doctrate,2008-04-08,2005-04-09
Florian.Pfannerstill,Dynabox,history,bachelor,1931-05-28,1923-06-06
Jessika,Lazz,chemistry,bachelor,1997-09-04,1941-03-29
Rossie_Pfannerstill,Tanoodle,agriculture,doctrate,1959-08-22,1938-04-03
Camila_Daugherty,Rhyloo,civil,master,1930-11-19,1908-07-03
Mabel,Zoovu,physics,bachelor,1934-01-04,1943-03-25
Alessandro,Skiptube,eletrical,doctrate,1900-06-04,1980-08-21
Lacey,Photobug,history,master,1977-12-07,1962-03-14
Lisette,Lazz,economics,bachelor,1977-07-14,1967-06-05
Mckayla.Graham,Zoombeat,biology,doctrate,1904-02-15,1967-01-17
Dayne_Becker,Wikido,computer science,doctrate,1942-01-30,1954-12-10
Isobel_Kulas,Meevee,eletrical,doctrate,1986-10-13,2002-07-05
Ansley,Photospace,philosophy,doctrate,2001-03-06,1976-09-28
